season,model,n,acc,logloss,brier
2006,elo,682,0.7521994134897361,0.5195704323397019,0.17443735741147356
2006,pr_win,682,0.7067448680351907,0.5448880705463648,0.18579538685919958
2006,pr_margin,682,0.7140762463343109,0.5468634467815968,0.18629143164990664
2006,pr_points,682,0.7111436950146628,0.5509361865599031,0.18579250779646267
2006,pr_points_against,682,0.7096774193548387,0.5497914118479307,0.1853601148309219
2006,pr_points_keep,682,0.7258064516129032,0.5438431055364853,0.1833279351830345
2006,bradley_terry,682,0.6891495601173021,0.5737216302250653,0.19568286649079383
2006,blade_chest,682,0.6759530791788856,0.6077897653722353,0.2091058139172326
2006,gbm,682,0.7448680351906158,0.5237584079647867,0.17717959264436406
2006,mlp,682,0.7463343108504399,0.5469313253283575,0.18431758524932174
2006,ensemble,682,0.7478005865102639,0.5168891246017158,0.17329584550469884
2006,cfbd_elo,682,0.7331378299120235,0.526759968632567,0.17625711200015995
2006,market,0,,,
2006,market_plus_model,0,,,
2007,elo,686,0.7244897959183674,0.5573904881114876,0.18736330170151547
2007,pr_win,686,0.6822157434402333,0.5928901906078182,0.2025158042939788
2007,pr_margin,686,0.7084548104956269,0.5874485624952299,0.19925210541426475
2007,pr_points,686,0.6836734693877551,0.5798711442047612,0.1976867439649227
2007,pr_points_against,686,0.6822157434402333,0.5789148765280416,0.19735005636394123
2007,pr_points_keep,686,0.7099125364431487,0.5599557334997481,0.18920459531169637
2007,bradley_terry,686,0.7011661807580175,0.5776368891961778,0.19632483766134748
2007,blade_chest,686,0.6807580174927114,0.6014569137162801,0.20644122652455454
2007,gbm,686,0.7201166180758017,0.5725275988579722,0.18747625434291557
2007,mlp,686,0.7274052478134111,0.5559392492759835,0.18682212926201774
2007,ensemble,686,0.7259475218658892,0.5475974044653821,0.18300943252775365
2007,cfbd_elo,686,0.7259475218658892,0.5464895553169583,0.1829034288405562
2007,market,571,0.7250437828371279,0.5305781614133666,0.1774296327424166
2007,market_plus_model,0,,,
2008,elo,683,0.7320644216691069,0.5375450557711577,0.18029159971850434
2008,pr_win,683,0.6559297218155198,0.5999867897769882,0.20678006644492675
2008,pr_margin,683,0.6691068814055637,0.5933647402384864,0.20357007522574833
2008,pr_points,683,0.7013177159590044,0.5768212836182883,0.19675270928709646
2008,pr_points_against,683,0.6969253294289898,0.5757942097176673,0.1963990969506799
2008,pr_points_keep,683,0.7042459736456809,0.5547820352100067,0.18762654767113807
2008,bradley_terry,683,0.6896046852122987,0.580003510385121,0.19781737404981087
2008,blade_chest,683,0.6896046852122987,0.596710702892612,0.20404171729091503
2008,gbm,683,0.7452415812591509,0.5358671983018956,0.1791270238865661
2008,mlp,683,0.7349926793557833,0.5943144510443019,0.1806785283870816
2008,ensemble,683,0.7247437774524158,0.5315921755941027,0.17820917223684696
2008,cfbd_elo,683,0.7437774524158126,0.5150677367768778,0.17304624492916257
2008,market,298,0.7516778523489933,0.506496843587938,0.16838266471833788
2008,market_plus_model,0,,,
2009,elo,680,0.7544117647058823,0.5094676246363852,0.1691475145094699
2009,pr_win,680,0.7235294117647059,0.5586605643160117,0.18841051648474783
2009,pr_margin,680,0.7338235294117647,0.5479045112517034,0.18441290111697436
2009,pr_points,680,0.7147058823529412,0.5647072400258965,0.19182537479855225
2009,pr_points_against,680,0.7102941176470589,0.5632272267274259,0.19129889533457362
2009,pr_points_keep,680,0.725,0.5394798031177567,0.1817202091364758
2009,bradley_terry,680,0.7220588235294118,0.5588991188020277,0.1883838044751935
2009,blade_chest,680,0.7205882352941176,0.5583052211164387,0.1879112750234096
2009,gbm,680,0.7455882352941177,0.5145517905788144,0.16960080633502234
2009,mlp,680,0.75,0.512803872964339,0.17010776076538936
2009,ensemble,680,0.7514705882352941,0.5084664822079694,0.16878203085822713
2009,cfbd_elo,680,0.7426470588235294,0.5060654263476138,0.16791459129009242
2009,market,584,0.7585616438356164,0.47017458108996185,0.15552223505095372
2009,market_plus_model,584,0.7585616438356164,0.46993499654776605,0.15516950475355457
2010,elo,683,0.7335285505124451,0.534031816274526,0.1799171068696881
2010,pr_win,683,0.698389458272328,0.5752053100548842,0.19630369764204428
2010,pr_margin,683,0.7042459736456809,0.5640556763865067,0.19251878060075311
2010,pr_points,683,0.6969253294289898,0.5715745717630208,0.19496867828292216
2010,pr_points_against,683,0.6969253294289898,0.5701439957069604,0.19444746989978737
2010,pr_points_keep,683,0.7115666178623719,0.5573774982240639,0.18922199907898654
2010,bradley_terry,683,0.6954612005856515,0.5891828667734298,0.2013377047917334
2010,blade_chest,683,0.6822840409956076,0.6238367477845653,0.21382990797426857
2010,gbm,683,0.7349926793557833,0.5299775545208999,0.17752599458888688
2010,mlp,683,0.726207906295754,0.5278878718947887,0.17748044864345977
2010,ensemble,683,0.7481698389458272,0.5286275361443269,0.1774775891275688
2010,cfbd_elo,683,0.7276720351390923,0.5331415488739152,0.17838538546769664
2010,market,578,0.7664359861591695,0.4835271049068886,0.16125833710599694
