week,model,n,acc,logloss,brier
1,market,290,0.7793103448275862,0.4424524215661745,0.1464922414550125
1,ensemble,292,0.7226027397260274,0.5320614312028606,0.1779800970018693
1,stack_T2,242,0.743801652892562,0.5202987995100856,0.172994225840346
1,stack_T4,242,0.731404958677686,0.5139519471337506,0.1718309796720655
1,stack_T4_weekly,242,0.7231404958677686,0.5277688803201273,0.1775512988864526
1,stack_T5,192,0.7916666666666666,0.4346941747277759,0.1428905878271085
1,elo,292,0.7191780821917808,0.5444490917368499,0.183343629714605
1,elo_rp,292,0.7157534246575342,0.5414908789807832,0.1826118652056638
2,market,295,0.752542372881356,0.4741761528574716,0.1589354604020361
2,ensemble,298,0.7214765100671141,0.5222948913764904,0.1770249793102968
2,stack_T2,238,0.726890756302521,0.5156486173633023,0.1746381698839978
2,stack_T4,238,0.7563025210084033,0.5036192206539188,0.1696928043195805
2,stack_T4_weekly,238,0.7478991596638656,0.5053044374986626,0.1704163938379401
2,stack_T5,193,0.7202072538860104,0.5028977904718767,0.1700184391420341
2,elo,298,0.7315436241610739,0.5328149894378676,0.1808851905046273
2,elo_rp,298,0.738255033557047,0.5274570178849253,0.1787191767557428
3,market,317,0.7539432176656151,0.4597036686176537,0.1554700514940256
3,ensemble,318,0.7578616352201258,0.5005382977504046,0.167192156212435
3,stack_T2,255,0.7450980392156863,0.4956962993168859,0.1645329102224691
3,stack_T4,255,0.7411764705882353,0.4916151909521862,0.1635981995098097
3,stack_T4_weekly,255,0.7411764705882353,0.4941410613589131,0.163714576744467
3,stack_T5,203,0.7783251231527094,0.4466367188102143,0.1485381659201483
3,elo,318,0.7295597484276729,0.5135127602001842,0.1730287204721216
3,elo_rp,318,0.7358490566037735,0.5114786572689073,0.1724196959743864
4,market,358,0.7681564245810056,0.5095714644270279,0.1687027787145726
4,ensemble,361,0.739612188365651,0.5386851551006228,0.1801999278623055
4,stack_T2,285,0.7368421052631579,0.5284127862913092,0.1767220815579885
4,stack_T4,285,0.7298245614035088,0.5286370250068957,0.1766024470956525
4,stack_T4_weekly,285,0.7403508771929824,0.5322705773747007,0.1782299865927712
4,stack_T5,227,0.7577092511013216,0.5109756076725687,0.1721380913179299
4,elo,361,0.739612188365651,0.5518740221598349,0.1854628227779046
4,elo_rp,361,0.7313019390581718,0.5542643957417436,0.1862864607791958
5,market,353,0.7280453257790368,0.5327252776590902,0.1792768239671089
5,ensemble,356,0.7219101123595506,0.5540440822132778,0.1864166166457052
5,stack_T2,277,0.7003610108303249,0.5628498905129911,0.1916375941421928
5,stack_T4,277,0.7148014440433214,0.5663107764192752,0.19248451498806
5,stack_T4_weekly,277,0.6967509025270758,0.5737166835140242,0.1956570330852265
5,stack_T5,216,0.7638888888888888,0.5257595790145538,0.1741099380319439
5,elo,356,0.699438202247191,0.5612259433152098,0.1912223722979365
5,elo_rp,356,0.699438202247191,0.5598098041559807,0.19033508582226
6,market,328,0.7195121951219512,0.5534809107904698,0.1877845598771291
6,ensemble,331,0.6888217522658611,0.5872703832440264,0.2018342161574522
6,stack_T2,256,0.73046875,0.5804724242121313,0.1977646542604519
6,stack_T4,256,0.73828125,0.5742819235899216,0.1945933157312524
6,stack_T4_weekly,256,0.71484375,0.5707237767551987,0.193419988385945
6,stack_T5,205,0.7463414634146341,0.544244951782231,0.1817227705650827
6,elo,331,0.6858006042296072,0.5966509597538742,0.2056762959172309
6,elo_rp,331,0.676737160120846,0.5945963913219484,0.2050182877697894
7,market,340,0.7176470588235294,0.5632071645906704,0.1891086100502254
