week,model,n,acc,logloss,brier
1,elo,499,0.7414829659318637,0.5322049052588577,0.1783603070692759
1,pr_win,499,0.7575150300601202,0.5150094416379292,0.16790574131123712
1,pr_margin,499,0.7535070140280561,0.5169882441318994,0.1686912586967752
1,pr_points,499,0.7655310621242485,0.49773571807322353,0.16338042775710926
1,pr_points_against,499,0.7655310621242485,0.4971558762094904,0.16319553935101166
1,pr_points_keep,499,0.7555110220440882,0.5236830695769371,0.17317424298895023
1,bradley_terry,499,0.7454909819639278,0.5512474239394098,0.18485866407097817
1,blade_chest,499,0.7094188376753507,0.584012409526345,0.19627317429387653
1,gbm,499,0.7414829659318637,0.5261156297956124,0.1750430981273418
1,mlp,499,0.7354709418837675,0.5302923721001311,0.17595950632323726
1,ensemble,499,0.749498997995992,0.5192518114787212,0.1725609115501368
1,cfbd_elo,499,0.7454909819639278,0.513492085365822,0.1714672412823221
1,market,478,0.7824267782426778,0.4429425092606105,0.14670689716740148
1,market_plus_model,478,0.7824267782426778,0.44329203441855325,0.14677742611524788
2,elo,535,0.7271028037383177,0.5302521269238538,0.18000177200606593
2,pr_win,535,0.7177570093457943,0.5675436405029739,0.18921301595520734
2,pr_margin,535,0.719626168224299,0.5670437702218788,0.18662101504556547
2,pr_points,535,0.7009345794392523,0.5439894589054978,0.18509026594422998
2,pr_points_against,535,0.7009345794392523,0.5431564468498823,0.18481826411138932
2,pr_points_keep,535,0.7102803738317757,0.5408165809519766,0.18400550701676505
2,bradley_terry,535,0.702803738317757,0.5797626812812267,0.19803260073760046
2,blade_chest,535,0.6934579439252336,0.5857617437104189,0.20109972048737665
2,gbm,535,0.7140186915887851,0.5431801913661358,0.1849522430539337
2,mlp,535,0.7214953271028037,0.5389833846947208,0.18201025690471218
2,ensemble,535,0.7271028037383177,0.5245246037693125,0.1776435231537809
2,cfbd_elo,535,0.7364485981308411,0.5104104025638331,0.17206138775835392
2,market,519,0.7495183044315993,0.46544881571089425,0.15663604011403823
2,market_plus_model,519,0.7495183044315993,0.4668177471726755,0.15722570576964778
3,elo,576,0.7552083333333334,0.49323124057434664,0.16400231646837193
3,pr_win,576,0.7447916666666666,0.5513093018448771,0.18027469347025882
3,pr_margin,576,0.75,0.5568898889019346,0.18137632591446742
3,pr_points,576,0.7048611111111112,0.5202923990556054,0.17707197599137128
3,pr_points_against,576,0.7065972222222222,0.5195609733176475,0.17689930165320927
3,pr_points_keep,576,0.7482638888888888,0.49605434688723143,0.16531866853824806
3,bradley_terry,576,0.7204861111111112,0.5565658530865227,0.18746482218976754
3,blade_chest,576,0.7135416666666666,0.5588769870643964,0.18939128309399011
3,gbm,576,0.7760416666666666,0.4822171194296217,0.1589138774391215
3,mlp,576,0.7690972222222222,0.4840839548492103,0.1596304805324175
3,ensemble,576,0.7847222222222222,0.47640748416990064,0.1570280400817009
3,cfbd_elo,576,0.7569444444444444,0.4853294028034935,0.16084874774773614
3,market,563,0.7815275310834814,0.4390020671263067,0.14573556178616004
3,market_plus_model,563,0.7815275310834814,0.43839117772827113,0.14551366571836527
4,elo,622,0.7154340836012861,0.5532003979753879,0.18766031343538284
4,pr_win,622,0.6961414790996785,0.6223422322302223,0.20681416364736
4,pr_margin,622,0.7138263665594855,0.6043942206067726,0.20081431335470362
4,pr_points,622,0.6913183279742765,0.575431395069713,0.19746972188150375
4,pr_points_against,622,0.6929260450160771,0.5747209144372962,0.19714582805925063
4,pr_points_keep,622,0.7379421221864951,0.5530686794235966,0.18753403012418068
4,bradley_terry,622,0.6897106109324759,0.600598656618096,0.2069707154599282
4,blade_chest,622,0.6720257234726688,0.6109829433321943,0.21041458437547403
4,gbm,622,0.7186495176848875,0.5446122245963031,0.18434459793898217
4,mlp,622,0.7315112540192926,0.541422570159641,0.18211288031488296
4,ensemble,622,0.7282958199356914,0.5405785581106882,0.18222757785169086
4,cfbd_elo,622,0.7459807073954984,0.5285177836764239,0.17656746428289186
4,market,607,0.7792421746293245,0.4900110748631957,0.16134151846627842
4,market_plus_model,607,0.7808896210873146,0.49014479927121396,0.16140046748225967
5,elo,633,0.6998420221169036,0.5486522509791784,0.18694812102933372
5,pr_win,633,0.669826224328594,0.6445351272109698,0.21746195791727618
5,pr_margin,633,0.6793048973143759,0.626033599884963,0.2114137387279016
5,pr_points,633,0.665086887835703,0.5901629525810129,0.20306462410194823
5,pr_points_against,633,0.6682464454976303,0.5898055463829405,0.20289314136269493
5,pr_points_keep,633,0.7030015797788309,0.563409254798493,0.19196289619666076
5,bradley_terry,633,0.665086887835703,0.5990426502814933,0.20661640006836188
5,blade_chest,633,0.660347551342812,0.611560115026196,0.21246000199489168
5,gbm,633,0.7140600315955766,0.5390810781419578,0.18134497292143997
5,mlp,633,0.7140600315955766,0.5375093050331556,0.18082713699782982
5,ensemble,633,0.7140600315955766,0.5383280902872981,0.18172904862478534
5,cfbd_elo,633,0.7109004739336493,0.5431446876283996,0.18435687871562798
5,market,609,0.7504105090311987,0.4950094723929528,0.16455076882126446
5,market_plus_model,609,0.7520525451559934,0.49509911573681087,0.1646451174606999
6,elo,610,0.6852459016393443,0.5930840517317976,0.20475385646966188
6,pr_win,610,0.6491803278688525,0.6788571742660957,0.2297816522409208
6,pr_margin,610,0.660655737704918,0.6553333584927723,0.22220190703663317
6,pr_points,610,0.6262295081967213,0.6294271774107161,0.22023133271704604
6,pr_points_against,610,0.6295081967213115,0.6293493005621867,0.22020219019122456
6,pr_points_keep,610,0.6557377049180327,0.6042792188852838,0.20896170163889718
6,bradley_terry,610,0.6688524590163935,0.6123471235726032,0.21216649551400757
6,blade_chest,610,0.6524590163934426,0.6476617743189739,0.22653315626873652
6,gbm,610,0.6950819672131148,0.5808293988668437,0.2005156665393734
6,mlp,610,0.7,0.5813916818527777,0.19974973642412014
6,ensemble,610,0.6852459016393443,0.5814478484347921,0.20027449913917064
6,cfbd_elo,610,0.680327868852459,0.5970290016914448,0.20443696231899125
6,market,589,0.7317487266553481,0.5433970314246003,0.1827171955520643
6,market_plus_model,589,0.7317487266553481,0.5440820519157351,0.18285816194954194
7,elo,616,0.6866883116883117,0.5898157807925262,0.20036977195962766
7,pr_win,616,0.6607142857142857,0.6674852972241694,0.22625736324899481
7,pr_margin,616,0.6623376623376623,0.6745588461076505,0.22768702488422882
7,pr_points,616,0.637987012987013,0.6475947089012147,0.22707533433707633
7,pr_points_against,616,0.6396103896103896,0.6473423238482402,0.22692124915673978
7,pr_points_keep,616,0.672077922077922,0.616334537128436,0.2119197308685003
7,bradley_terry,616,0.6688311688311688,0.6164704283587868,0.2138983981672981
7,blade_chest,616,0.6688311688311688,0.629014366500056,0.21706497932873692
7,gbm,616,0.6883116883116883,0.5831324973092733,0.19871512430997493
7,mlp,616,0.6866883116883117,0.5834188290456441,0.1995115088563794
7,ensemble,616,0.689935064935065,0.5851472812129939,0.1992584646009079
7,cfbd_elo,616,0.7077922077922078,0.5949656513804451,0.19978362411040765
7,market,596,0.7231543624161074,0.5564625342424335,0.18705976689770196
7,market_plus_model,596,0.7214765100671141,0.5563631470014725,0.18677034548587884
8,elo,653,0.6891271056661562,0.5707427732018882,0.19459644067162923
8,pr_win,653,0.6738131699846861,0.6616067540644256,0.2241676260642075
8,pr_margin,653,0.663093415007657,0.6583959850042129,0.2231380850578749
8,pr_points,653,0.6462480857580398,0.6141837832052918,0.2135126966139053
8,pr_points_against,653,0.6447166921898928,0.6136656056360645,0.2133573205076004
8,pr_points_keep,653,0.6875957120980092,0.5771502876844685,0.19711832368428317
8,bradley_terry,653,0.6860643185298622,0.6013495329788111,0.20725934495656032
8,blade_chest,653,0.6539050535987749,0.625989699167156,0.21809508830368232
8,gbm,653,0.7166921898928025,0.5610954947570139,0.19009371678114043
8,mlp,653,0.7105666156202144,0.5593384870077371,0.18985292509704652
8,ensemble,653,0.7013782542113323,0.5589313105749137,0.18969415387478678
8,cfbd_elo,653,0.7059724349157733,0.5728066763142615,0.19304925924821037
8,market,638,0.7225705329153606,0.5248323096848934,0.1756379719256406
8,market_plus_model,638,0.7272727272727273,0.5244590552431488,0.17553607748660485
9,elo,624,0.6971153846153846,0.5745574503895681,0.19693367318010177
9,pr_win,624,0.657051282051282,0.6498068073306579,0.22296845370630208
9,pr_margin,624,0.6714743589743589,0.6401284690093182,0.22010073669622693
9,pr_points,624,0.6522435897435898,0.611779177438251,0.2121288022974587
9,pr_points_against,624,0.6522435897435898,0.6116798357900957,0.21204653633861925
9,pr_points_keep,624,0.6987179487179487,0.571635419858984,0.19608867361454108
9,bradley_terry,624,0.6602564102564102,0.6020109631756686,0.20779937150599403
9,blade_chest,624,0.6410256410256411,0.6358961928144856,0.22293599290268168
9,gbm,624,0.7035256410256411,0.5518576558951206,0.18774531168321204
