margin_cap,damping,acc,logloss
14,0.85,0.6936562860438293,0.5895872087144269
14,0.9,0.6938869665513264,0.5918358476503656
28,0.85,0.697116493656286,0.5902478986074776
28,0.9,0.695040369088812,0.5927183175926848
45,0.85,0.6991926182237601,0.5902625909497986
45,0.9,0.6978085351787774,0.5929609944578161
