game_id,season,week,season_type,home_team,away_team,home_win,margin,spread_home,open_spread_home,neutral_site,elo,pr_points_keep,bradley_terry,blade_chest,gbm,mlp,ensemble,market,cfbd_elo,ridge_margin_prob,ridge_margin_pred,ridge_ypp_margin_prob,ridge_ypp_margin_pred,ridge_success_margin_prob,ridge_success_margin_pred,ridge_explosive_margin_prob,ridge_explosive_margin_pred,ridge_turnover_margin_prob,ridge_turnover_margin_pred,ridge_havoc_margin_prob,ridge_havoc_margin_pred,home_ret_off,home_ret_def,home_ret_avg,home_roster_continuity,away_ret_off,away_ret_def,away_ret_avg,away_roster_continuity,ret_off_diff,ret_def_diff,continuity_diff,elo_rp,elo_rp_diff,away_travel_km,tz_shift,elev_diff,home_ind,neutral,conf_game,wp_diff,margin_diff,gp_home,gp_away,rest_diff,elo_prob,elo_diff,pr_keep_logit,bt_logit,open_prob,gbm_T1_ridge,gbm_T2_efficiency,gbm_T3_offseason,gbm_T4_situational,gbm_T5_openline,stack_T1,stack_T2,stack_T4,stack_T4_weekly,stack_T5,elo_dynk,elo_dynk_diff,gbm_T4_margin_pred,gbm_T4_margin,stack_final,stack_final_wk,stack_final_ol,m_home,v_home,home_won,m_right,v_right,disagree,conf,fav_spread,model_edge_pts,bucket,_b,home_points,away_points
401520145,2023,1,regular,Jacksonville State,UTEP,1,3,1.0,-2.5,False,0.8716273771464561,0.8538703563832842,0.7781752889871075,0.8880838738576781,0.8347511366918448,0.860847156295534,0.8532414814371435,0.4602175726374565,0.7447304068650347,0.8687079927431508,11.225495438265954,0.7902436997120321,1.235201589594077,0.6908817850275741,0.0694973021909755,0.6451756180348497,0.0510115130197765,0.5937138709070583,0.0544086065571021,0.5748095406630327,-0.0160924638481608,0.7453560371517027,0.8333333333333334,0.7893446852425181,0.4677419354838709,0.6568021201413428,0.4117647058823529,0.5342834130118479,0.591304347826087,0.0885539170103599,0.4215686274509804,-0.123562412342216,0.8850357251805439,304.559159004785,1948.681045213557,1.0,-985.6299744,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0.8716273771464561,282.7433792138117,1.7652851770771931,1.2550643260320462,0.5624223095097891,0.5929608738565625,0.5957088720902516,0.7127016270353448,0.776175305190511,0.6760477147204459,0.7712038717941918,0.7216603913541977,0.7902502005384409,0.7528443081612518,0.570534184762618,0.8342144658219038,230.69243342362304,12.935749252512112,0.8081799914288075,0.7607051847325429,0.7368347555504817,,True,False,True,True,False,True,0.3004876120950864,1.0,-1.0,MODEL_WINS,.20+,17,14
401523988,2023,1,regular,Hawai'i,Stanford,0,-13,2.75,8.25,False,0.4959288225471635,0.5594796206364899,0.530841818072958,0.3740278167855053,0.5741216706179608,0.6617343782726122,0.5737073418424568,0.4081699867974294,0.4597917716762543,0.3486303472782724,-2.06546445736496,0.3352681792251112,-0.908106065302705,0.4768394061867851,-0.0414404502531842,0.5605008298242643,-0.0086078134129477,0.71146421857271,0.7311073815307458,0.5926188889534691,0.0152027482148378,0.6815183936684743,0.7647058823529411,0.7231121380107077,0.5882352941176471,0.3504228329809725,0.3125,0.3314614164904862,0.6146788990825688,0.3310955606875018,0.4522058823529411,-0.0264436049649217,0.4643921917978395,-74.78479625542764,3861.5150316025056,-2.0,1.6157436400000016,1.0,0.0,0.0,-0.5,-7.0,1,0,0.0,0.4959288225471635,-52.82900636439194,0.2390503943779832,0.1235240959817483,0.2582782592965648,0.6034102362489193,0.4582496947050165,0.5626983495879972,0.5862838061544577,0.4076822712833306,0.4825123455819418,0.451811455182249,0.5209872901981728,0.5079143360186295,0.362876268443649,0.4711284467644929,-70.08435208196192,0.1552550839203272,0.5196405278290375,0.5170753057893248,0.5227915717934027,,True,False,False,False,True,True,0.10890531899189543,2.75,-2.75,VEGAS_WINS,.10-.20,24,37
401523991,2023,1,regular,North Texas,California,0,-37,6.5,8.25,False,0.670943420150978,0.7278865165211861,0.606216524760086,0.5425317233269297,0.7226279968951583,0.7746124348569091,0.7268751690031102,0.3044980375661983,0.626699081666732,0.5690622391490893,2.707747726093729,0.4341127381842966,-0.4611192635425382,0.5964905081616789,0.0183690990369366,0.5437340089679082,-0.0200055388485672,0.4740709106481587,-0.5705296392863111,0.5997918540535301,0.0279237186678709,0.4779514824797843,0.7777777777777778,0.6278646301287811,0.591304347826087,0.3715255942648723,0.7333333333333333,0.5524294637991028,0.5826086956521739,0.106425888214912,0.0444444444444445,0.0086956521739131,0.6725892266843819,75.06277642230043,2321.3182052019342,2.0,73.37638849999999,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.670943420150978,73.7661275055143,0.9839259541894604,0.4314360208281368,0.2582782592965648,0.740783493422896,0.6308110478294247,0.6590633984354399,0.6886656899524013,0.436130285504337,0.6460540029392572,0.6186716516999017,0.6538003033270952,0.6622251564675773,0.3505224845585399,0.6201419824606442,35.147934369219,6.99449841077821,0.6912949771758292,0.6410232655522807,0.630108745979383,,True,False,False,False,True,True,0.3365252279860824,6.5,-6.5,VEGAS_WINS,.20+,21,58
401520167,2023,1,regular,North Carolina,South Carolina,1,14,2.5,-2.75,True,0.3809137977042652,0.7280782906773127,0.5301093229663735,0.6634015682505356,0.4875155434661145,0.3433286492497068,0.4725791052886605,0.4155082569364689,0.4412686306752389,0.5130015623634754,1.513200768780929,0.5274065557899408,-0.0616016374812987,0.6293391854257864,0.0355015977364203,0.572730259667766,-0.0002366048429831,0.6419922714814523,0.319158053341244,0.5749003571746707,-0.0159338144465129,0.8247412982126058,0.7222222222222222,0.773481760217414,0.6864406779661016,0.6451284660391757,0.5882352941176471,0.6166818800784114,0.6218487394957983,0.17961283217343,0.1339869281045751,0.0645919384703033,0.3973708872946856,-72.34162491996244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.3809137977042652,-84.36976826753289,0.9848943930620616,0.1205831894314257,0.569881901378733,0.4982529852694893,0.6628625488970236,0.751410094125519,0.7416051577697954,0.732552539928379,0.4916841665370215,0.5656114274669154,0.6383715518011052,0.65084953612084,0.6545061860486846,0.4366355899169924,-44.268110214925855,8.07848971491888,0.7153473259193296,0.6632680656760757,0.7169527544141108,,True,False,True,True,False,True,0.24775980873960674,2.5,-2.5,MODEL_WINS,.20+,31,17
401520182,2023,1,regular,Florida State,LSU,1,21,2.5,2.25,True,0.5415333389794922,0.4556013569544089,0.4020056135994931,0.7839969374709039,0.6806183272331027,0.5603105086867899,0.5231877824278893,0.4155082569364689,0.4784266669488545,0.4474965340534231,0.1241466911149942,0.5560534285672094,0.0614255872466089,0.3852635341167203,-0.0877667552982902,0.5998766288086738,0.0185804237486568,0.5275917912057588,-0.293353801660087,0.585303264071787,0.0023006615178556,0.7883309208328694,0.875,0.8316654604164346,0.6416666666666667,0.8568846358320042,0.5862068965517241,0.7215457661918642,0.5526315789473685,-0.0685537149991348,0.2887931034482759,0.0890350877192982,0.5668732696417548,46.74839670266033,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.5415333389794922,28.92697550754133,-0.1780635682470619,-0.3971153139170821,0.4192038613254186,0.6103528164808386,0.548290126877447,0.581852105640931,0.5383039915078801,0.5011170778044571,0.5733161533970424,0.5665511244561935,0.577741392852263,0.5462408232661763,0.4769320810386486,0.507887081990054,5.480960527355819,1.0784998565819208,0.5440901656315162,0.55754435438007,0.5465077143783859,,True,False,True,True,False,True,0.14203609744360107,2.5,-2.5,MODEL_WINS,.10-.20,45,24
401520188,2023,2,regular,Colorado,Nebraska,1,22,-3.0,2.5,False,0.4072633065334301,0.4151682150756077,0.6005393279499173,0.5445999983555484,0.4860617801184612,0.3619728506850359,0.4174905785670358,0.5806061618832977,0.1736464460559682,0.226401057733441,-3.088112450460605,0.2298745958208636,-1.5192023286801988,0.4854724958859793,-0.0817937755412498,0.5856786642151476,-0.0209967153880523,0.6709291751973931,0.331112248195698,0.6084458744784317,0.0047541662207962,0.0961711306848822,0.0769230769230769,0.0865471038039795,0.2184873949579832,0.3018497757847533,0.3684210526315789,0.3351354142081661,0.4834437086092715,-0.2056786450998711,-0.291497975708502,-0.2649563136512883,0.4349422822596382,-95.46447281244104,730.0931697475402,-1.0,1279.1092532,1.0,0.0,0.0,1.0,6.0,1,1,-1.0,0.4072633065334301,-115.19461208354232,-0.3426404831092425,0.4077128139500012,0.4118281391758631,0.2542970792130753,0.2987153966658635,0.2387676976725196,0.2482477426093075,0.2856879285956911,0.2893516457912782,0.3000935741146094,0.2721963503012355,0.2976732847952649,0.4354655753077091,0.4352738176529082,-95.23015154145035,-7.450396862339299,0.3250832605692616,0.2951719262506615,0.2579950841113691,,False,True,True,False,True,True,0.2854342356326362,3.0,-3.0,VEGAS_WINS,.20+,36,14
401520215,2023,2,regular,Virginia Tech,Purdue,0,-7,-1.0,-1.25,False,0.338254269009508,0.2882640900428588,0.5323918889913795,0.5147520807532283,0.4648179881662651,0.3983302730306488,0.363171707139067,0.5207125716332499,0.4956827602449402,0.458634064034381,1.4017819882071665,0.4516041793985202,-0.4359645090380881,0.4843777842683419,-0.0826397184977247,0.6135712120163681,0.0184671589837334,0.6888293450131558,0.4208328533181525,0.6092347801455108,0.0076195069758727,0.679582146248813,0.5625,0.6210410731244065,0.576,0.3324836528870664,0.44,0.3862418264435332,0.5517241379310345,0.3470984933617466,0.1225,0.0242758620689654,0.3452283933444966,-161.19333256395248,666.7377310026062,0.0,434.7293549,1.0,0.0,0.0,1.0,23.0,1,1,-1.0,0.338254269009508,-166.5791447526135,-0.9038298903424652,0.1297492761146891,0.5247661633359971,0.2720972529276224,0.3874583752835365,0.5002025583371443,0.467657510998116,0.4170981766726985,0.3757911281384873,0.4053721789026823,0.456706320455446,0.3786460223428452,0.5639439791534604,0.3842035373187312,-131.95033232507058,-0.8997339639381418,0.49159325891519,0.438246650621685,0.3244191527278688,,False,True,False,True,False,True,0.08246592101156491,1.0,-1.0,MODEL_WINS,.05-.10,17,24
401520194,2023,2,regular,Iowa State,Iowa,0,-7,3.5,3.75,False,0.4122535727014046,0.6973225073619339,0.4917730146483549,0.5624006618705121,0.5929423449269888,0.5812734480689153,0.5617014284407148,0.3864113152117556,0.3964636814738219,0.6631162422090774,4.963000310930416,0.757718220626611,0.9883889448129176,0.6283781712133609,0.0308083397613376,0.6091747081121511,0.0121837796714664,0.5738083027014392,-0.1215012195437529,0.6085039944862689,0.0049651902805519,0.6815312843029637,0.0,0.3407656421514818,0.6484375,0.4020503261882572,0.72,0.5610251630941285,0.6377952755905512,0.2794809581147065,-0.72,0.0106422244094488,0.3842466167881127,-131.91870176051702,177.16686271286633,0.0,54.277771,1.0,0.0,0.0,0.0,11.0,1,1,0.0,0.4122535727014046,-111.61022793463916,0.8345801536591371,-0.0329109116459807,0.3756001008388033,0.6055963802111316,0.6857273582466316,0.688408711549293,0.6742844906064714,0.5009222768955881,0.59730060121561,0.6356962069906881,0.6378260129042406,0.6370601168729041,0.459298580750392,0.4329676280980482,-96.86097081247522,4.612651166559853,0.6347833068916986,0.6553101595558007,0.7373222115849871,,True,False,False,False,True,True,0.26889884434404515,3.5,-3.5,VEGAS_WINS,.20+,13,20
401520207,2023,2,regular,Northwestern,UTEP,1,31,-1.0,0.5,False,0.2431593771041491,0.2177587850278999,0.5389303115891267,0.5088827687078987,0.2583500613537861,0.2636839353817343,0.2330460053102539,0.5207125716332499,0.4726840269935071,0.2687547198342663,-2.125861764724954,0.7391462458412693,0.8830630345108461,0.6399816125493895,0.0404626339043465,0.6299130813814979,0.0420652263118038,0.6237013596424797,0.1052311200161295,0.6021635285459042,-0.0179916490635115,0.5995292040606149,0.7,0.6497646020303074,0.6944444444444444,0.6568021201413428,0.4117647058823529,0.5342834130118479,0.591304347826087,-0.0572729160807278,0.288235294117647,0.1031400966183574,0.2480986707066376,-242.6145661028584,2020.615308521937,1.0,-1004.697876,1.0,0.0,0.0,-0.5,-22.5,1,2,0.0,0.2431593771041491,-247.2453649132476,-1.278775192546599,0.1560370710162293,0.4716682952947632,0.2290017692636895,0.563822503394306,0.5931876690592573,0.6191230398890047,0.4444709146637257,0.2580467862076432,0.3958815010446886,0.4633577627611452,0.427366393067504,0.5951198117349308,0.2575262783071114,-233.94381428732868,2.2056157595261023,0.57364188440458,0.4702741202866292,0.4781793268887267,,False,True,True,False,True,True,0.05043845134662073,1.0,-1.0,VEGAS_WINS,.05-.10,38,7
401531378,2023,2,regular,Georgia Southern,UAB,1,14,-7.0,-6.0,False,0.4390282835657226,0.5494433654082201,0.4844028797567717,0.2525186917776013,0.4888841663177993,0.5419673947027991,0.5072481151061223,0.6921076420628562,0.4469531048305375,0.3750342024726534,-0.0548717045373798,0.1914645701568402,-1.7663101900518132,0.5782437784017662,-0.00966594447939,0.5637571294588152,-0.0514573047801406,0.6342345057140365,0.1544618101396951,0.6098954936885459,0.0100208441874458,0.3968612275610018,0.5,0.4484306137805009,0.5597014925373134,0.4072741292892944,0.3333333333333333,0.3703037313113139,0.5161290322580645,-0.0104129017282926,0.1666666666666666,0.0435724602792488,0.4443108814269103,-88.85797723356359,483.98561577638463,1.0,-125.74623108,1.0,0.0,0.0,0.0,0.0,1,1,-1.0,0.4390282835657226,-92.57938616952585,0.1984219187388819,-0.0624087291370746,0.6628871447912723,0.4448771066185234,0.3380571078122761,0.3950020263600329,0.372917702245082,0.5842714205219866,0.4495994345317821,0.4020588247543911,0.4168296460509728,0.4047310704838083,0.6525777302454865,0.4499565633399177,-84.89055831563564,-3.305010342227544,0.4281237895740568,0.4198842450856277,0.3608876101026174,,False,True,True,False,True,True,0.2722233969772285,7.0,-7.0,VEGAS_WINS,.20+,49,35
