w_min,s_max,e_min,market,tr_n,tr_roi,te_n,te_roi,te_win,te_profit,te_t
1,99,0.05,ML,1013,-0.08403244455245344,1028,-0.03817527578554097,0.5505836575875487,-3924.418350753612,-1.2785153686599995
1,99,0.05,ATS,1004,-0.10820354943860926,1010,-0.07002700270027007,0.4871287128712871,-7072.727272727277,-2.3310868481563136
1,99,0.08,ML,749,-0.07913475054272054,753,-0.055612345734398126,0.5046480743691899,-4187.609633800179,-1.4895914082919448
1,99,0.08,ATS,736,-0.09473814229249014,741,-0.09827015090172987,0.47233468286099867,-7281.818181818184,-2.804830881087556
5,3,0.0,ML,423,-0.11606300418345739,419,-0.06152716453137711,0.5011933174224343,-2577.988193864701,-1.320345681760385
5,3,0.0,ATS,427,-0.14157973174366623,415,-0.09375684556407453,0.4746987951807229,-3890.909090909093,-2.001074625496709
5,3,0.03,ML,372,-0.10045675449381068,350,-0.05662292910635898,0.5,-1981.8025187225644,-1.10094368870226
5,3,0.03,ATS,375,-0.13454545454545458,346,-0.08407777193904364,0.4797687861271676,-2909.09090909091,-1.6373817087107643
5,3,0.05,ML,327,-0.10762603914743891,295,-0.02672482041548316,0.511864406779661,-788.3822022567533,-0.4730512725844948
5,3,0.05,ATS,329,-0.14700193423597682,289,-0.061969172695816324,0.4913494809688581,-1790.9090909090917,-1.1018953129471332
5,3,0.08,ML,247,-0.039504309044045345,211,-0.04454950324371874,0.4928909952606635,-939.9945184424654,-0.6539663128057834
5,3,0.08,ATS,245,-0.08831168831168834,208,-0.10970279720279723,0.46634615384615385,-2281.8181818181824,-1.6572660853363257
5,7,0.0,ML,825,-0.08736986648891759,847,-0.05851489931152303,0.5419126328217237,-4956.211971686001,-1.8821919884371725
5,7,0.0,ATS,827,-0.1043201055292954,837,-0.0739654610622353,0.4850657108721625,-6190.909090909095,-2.2414512826529283
5,7,0.03,ML,688,-0.07958456388777195,690,-0.06501406002076969,0.527536231884058,-4485.970141433108,-1.842661262279349
5,7,0.03,ATS,690,-0.10079051383399214,680,-0.08475935828877008,0.47941176470588237,-5763.636363636366,-2.315764645059834
5,7,0.05,ML,583,-0.0862196954198033,577,-0.05102934213146804,0.5268630849220104,-2944.393040985706,-1.2974173054111457
5,7,0.05,ATS,583,-0.10603461718384534,566,-0.06906521040796662,0.4876325088339223,-3909.090909090911,-1.7203620144366
5,7,0.08,ML,442,-0.05704913580351834,424,-0.06427740822343611,0.5023584905660378,-2725.362108673691,-1.3493725946141633
5,7,0.08,ATS,438,-0.08468244084682444,417,-0.09810333551340748,0.4724220623501199,-4090.909090909092,-2.0994011504858734
5,99,0.0,ML,1236,-0.06680611418767618,1329,-0.03818582752119065,0.6410835214446953,-5074.896477566238,-1.7474227337782484
