tier,model,col,n,acc,logloss,brier,ll_market,ll_market_plus_model,market_gain,ats_pct,disagree_pct,model_right_when_disagree
benchmark,Vegas closing line,market,5062,0.7299486369024101,0.5222632741336127,0.1756511926381037,,,,,,
benchmark,Vegas opening line,open_prob,4546,0.7289925208974923,0.5248908692107903,0.176785676112923,0.5216116133626258,0.5202402327570057,0.0013713806056201,50.38099506947557,4.639175257731959,51.20772946859904
benchmark,CFBD Elo,cfbd_elo,5106,0.7101449275362319,0.5596545372169759,0.1893565858357073,0.5222632741336127,0.5210537530536413,0.0012095210799714,49.75845410628019,12.661030595813203,43.40222575516693
T0,Elo (T0),elo,5106,0.7075989032510772,0.5586311355748198,0.189820059986548,0.5222632741336127,0.521401771077868,0.0008615030557447,49.49677938808373,13.848631239935589,43.4593023255814
T0,GBM (T0),gbm,5106,0.7113200156678418,0.5529295567355399,0.187100910795633,0.5222632741336127,0.5210949227719652,0.0011683513616475,49.47665056360708,12.4597423510467,44.103392568659125
T0,Ensemble (T0),ensemble,5106,0.7109283196239718,0.5498877328027807,0.1860527771491761,0.5222632741336127,0.5213113071698949,0.0009519669637177,49.69806763285024,12.379227053140095,43.57723577235773
T1,Ridge margin rating,ridge_margin_prob,5106,0.7124951037994516,0.5651526041612515,0.1906460347522093,0.5222632741336127,0.5211703388220854,0.0010929353115273,49.23510466988728,13.727858293075684,44.72140762463343
T1,GBM T1,gbm_T1_ridge,5106,0.7142577359968665,0.5596197484330562,0.1887546086973622,0.5272021436822107,0.5266472844309894,0.0005548592512213,49.53401677539608,13.257222739981362,45.69420035149385
T1,Stack T1,stack_T1,3864,0.7062629399585921,0.5554131938286518,0.1881264890858219,0.5216375664918137,0.5232497330380664,-0.0016121665462527,50.29787234042553,12.042553191489365,43.81625441696113
T2,Ridge yards/play rating,ridge_ypp_margin_prob,5106,0.6987857422640031,0.5682995145716025,0.1938455135625222,0.5222632741336127,0.5208266253463923,0.0014366487872203,48.973429951690825,16.646537842190014,41.23337363966142
T2,Ridge success-rate rating,ridge_success_margin_prob,5106,0.6882099490795143,0.585178637087003,0.200034032286661,0.5222632741336127,0.5209491207440294,0.0013141533895832,49.75845410628019,18.297101449275363,39.49394939493949
T2,Ridge turnover rating,ridge_turnover_margin_prob,5106,0.6149627888758323,0.6556137792858432,0.2315184148106587,0.5222632741336127,0.5209484164968671,0.0013148576367456,50.06038647342995,33.43397745571659,33.53401565322095
T2,GBM T2 (+efficiency),gbm_T2_efficiency,5106,0.7171954563258911,0.5509341077286211,0.1857319566390917,0.5272021436822107,0.52648905455175,0.0007130891304607,49.88350419384902,11.835973904939422,45.2755905511811
T2,Stack T2,stack_T2,3864,0.7119565217391305,0.5509269308283585,0.1865162278494176,0.5216375664918137,0.5228598040540708,-0.0012222375622571,49.14893617021277,11.23404255319149,48.10606060606061
T3,Elo + returning production,elo_rp,5106,0.708773991382687,0.5577388802771758,0.1894540795792856,0.5222632741336127,0.5213710883805558,0.0008921857530569,49.71819645732689,13.768115942028986,43.71345029239766
T3,GBM T3 (+offseason),gbm_T3_offseason,5106,0.7222875048962005,0.5450782431083764,0.1836827807737165,0.5272021436822107,0.5265985621830068,0.0006035814992039,50.25629077353215,12.255358807082944,46.38783269961977
T4,GBM T4 (+situational),gbm_T4_situational,5106,0.7220916568742656,0.54515596386287,0.1837958004871673,0.5272021436822107,0.5264938176111538,0.0007083260710569,50.44268406337372,12.698042870456664,46.972477064220186
T4,Stack T4,stack_T4,3864,0.7158385093167702,0.5472749899914143,0.1851241811776856,0.5216375664918137,0.5227818278923516,-0.0011442614005379,50.08510638297873,11.106382978723405,49.042145593869726
T4,"Stack T4, week-bucketed",stack_T4_weekly,3864,0.712991718426501,0.5495623916700811,0.1860071599576482,0.5216375664918137,0.5227711665529371,-0.0011336000611233,49.19148936170213,11.27659574468085,46.41509433962264
T5,GBM T5 (+opening line),gbm_T5_openline,5106,0.7285546415981199,0.5352986881646443,0.1796934501941525,0.5272021436822107,0.526160024134866,0.0010421195473447,51.14165890027959,10.368126747437092,48.08988764044943
T5,Stack T5 (+opening line),stack_T5,3125,0.728,0.5325874483320148,0.1800750168923562,0.5275499533451808,0.5271948757567261,0.0003550775884547,50.921805467260015,5.149396058486968,55.55555555555556
T1,"Elo, dynamic K",elo_dynk,5106,0.7079905992949471,0.5552816834113262,0.18849390157975338,0.5222632741336127,0.5214767838942223,0.0007864902393904805,49.17471819645733,13.88888888888889,43.333333333333336
T4,GBM T4 margin-regression,gbm_T4_margin,4372,0.7102012808783166,0.5525682364598955,0.18719243609169328,0.5283577972556042,0.5282752564144982,8.254084110592697e-05,50.390625,12.662760416666666,42.9305912596401
T4,Stack FINAL (results-only),stack_final,2398,0.7180984153461217,0.5437848609997098,0.18403681170316738,0.5177565342854784,0.5174067887558043,0.0003497455296741503,49.24242424242424,10.227272727272728,43.20987654320987
T4,"Stack FINAL, week-bucketed",stack_final_wk,2398,0.7114261884904087,0.5485496494020055,0.18590204689767265,0.5177565342854784,0.5173368913246353,0.0004196429608430696,47.97979797979798,10.732323232323232,38.82352941176471
T5,Stack FINAL + opening line,stack_final_ol,1606,0.7210460772104608,0.5327575964689804,0.18061828271310307,,,,,,
